                                         STRUCTURE OUTFLOW DISCHARGE
  INFLOW AND OUTFLOW DISCHARGE MAY BE DIFFERENT IF STRUCTURE IS A LONG CULVERT OR IF OUTFLOW COMBINES MULTIPLE CULVERTS
                                   OUTFLOW DISCHARGE IS REPORTED AS NEGATIVE

     FLOODPLAIN GRID ELEMENTS     TIME (HRS)               DISCHARGE (CFS OR CMS)

 THE MAXIMUM DISCHARGE FOR: Grnway1         STRUCTURE NO.        1 IS:        84.52  AT TIME:     4.60
                                        INFLOW NODE:     35372 AND OUTFLOW NODE:     34515
                                     0.50               0.00                      0.00
                                     0.60               0.00                      0.00
                                     0.70               0.00                      0.00
                                     0.80               0.00                      0.00
                                     0.90               0.00                      0.00
                                     1.00               0.00                      0.00
                                     1.10               0.00                      0.00
                                     1.20               0.00                      0.00
                                     1.30               0.00                      0.00
                                     1.40               0.00                      0.00
                                     1.50               0.00                      0.00
                                     1.60               0.00                      0.00
                                     1.70               0.00                      0.00
                                     1.80               0.00                      0.00
                                     1.90               0.00                      0.00
                                     2.00               0.00                      0.00
                                     2.10               0.00                      0.00
                                     2.20               0.00                      0.00
                                     2.30               0.00                      0.00
                                     2.40               0.00                      0.00
                                     2.50               0.00                      0.00
                                     2.60               0.00                      0.00
                                     2.70               0.00                      0.00
                                     2.80               0.00                      0.00
                                     2.90               0.00                      0.00
                                     3.00               0.00                      0.00
                                     3.10               0.00                      0.00
                                     3.20               0.00                      0.00
                                     3.30               0.00                      0.00
                                     3.40               0.00                      0.00
                                     3.50               0.00                      0.00
                                     3.60               0.00                      0.00
                                     3.70               0.04                     -0.15
                                     3.80               0.14                     -0.38
                                     3.90               0.23                     -0.60
                                     4.00               0.43                     -0.93
                                     4.10               0.59                     -1.31
                                     4.20               0.75                     -1.72
                                     4.30               0.81                     -2.04
                                     4.40               0.77                     -2.13
                                     4.50               0.73                     -2.05
                                     4.60               0.68                     -1.89
                                     4.70               0.63                     -1.69
                                     4.80               0.59                     -1.53
                                     4.90               0.55                     -1.38
                                     5.00               0.50                     -1.23
                                     5.10               0.43                     -1.09
                                     5.20               0.38                     -0.98
                                     5.30               0.32                     -0.89
                                     5.40               0.28                     -0.81
                                     5.50               0.23                     -0.73
                                     5.60               0.20                     -0.65
                                     5.70               0.17                     -0.58
                                     5.80               0.14                     -0.51
                                     5.90               0.12                     -0.45
                                     6.00               0.10                     -0.39
                                     6.10               0.08                     -0.32
                                     6.20               0.06                     -0.26
                                     6.30               0.04                     -0.21
